Type	ID	Name	MmBrain-A	MmBrain-B	MmHeart-A	MmHeart-B	MmKidney-A	MmKidney-B	MmLiver-A	MmLiver-B	MmLung-A	MmLung-B	MmThymus-A	MmThymus-B	MmEye-A	MmEye-B	MmSpinalCord-A	MmSpinalCord-B	MmE7-A	MmE7-B	MmE11-A	MmE11-B	MmE15-A	MmE15-B	MmE17-A	MmE17-B	mESC-A	mESC-B	mESCD1-A	mESCD1-B	mESCD3-A	mESCD3-B	mESCD6-A	mESCD6-B	HsBrain-A	HsBrain-B	HsHeart-A	HsHeart-B	HsKidney-A	HsKidney-B	HsLiver-A	HsLiver-B	HsLung-A	HsLung-B	HsThymus-A	HsThymus-B	HsCervix-A	HsCervix-B	HsOvary-A	HsOvary-B	HsPlacenta-A	HsPlacenta-B	HsProstate-A	HsProstate-B	HsTestis-A	HsTestis-B	NT2-A	NT2-B	NT2D1-A	NT2D1-B	NT2D3-A	NT2D3-B	WI38-A	WI38-B	MCF10A-A	MCF10A-B	MCF7-A	MCF7-B	MDA-MB-231-A	MDA-MB-231-B	BT474-A	BT474-B	OVCAR3-A	OVCAR3-B	4T1A	4T1B	LNCaP-A	LNCaP-B	PC3-A	PC3-B	LuCAP-A	LuCAP-B	U251MG-A	U251MG-B	C33A-A	C33A-B	H522-A	H522-B	U2OS-A	U2OS-B	MRC5-A	MRC5-B	H1299-A	H1299-B	A549-A	A549-B	Huh7-A	Huh7-B
Positive	POS_A	ERCC_00117.1	28214	26617	23185	25177	21849	24190	28527	27651	26086	27051	26878	26720	32856	23489	31266	21810	28448	21892	35072	30087	30544	27450	28678	30599	34790	21682	37331	27122	36118	33136	32294	29232	27941	35030	33117	33668	31221	31687	27123	34853	28115	33336	37474	30890	31828	33953	31298	31608	35466	33376	37898	37517	36693	30274	31428	28291	31114	32937	34964	33870	39669	35586	43228	41423	39182	36678	34306	39989	45182	44738	39465	35999	43507	40078	37263	46300	35673	36879	41454	42535	40044	39890	46430	41801	40017	35955	37673	35031	42588	39529	45498	29637	49857	44055	39967	50745
Positive	POS_B	ERCC_00112.1	9696	9498	8188	8963	8053	8643	10123	10012	9481	9494	9910	9965	11511	8605	11502	7633	10232	7908	12328	11431	11142	10128	10798	11737	11116	7067	12375	8424	12053	11032	10122	9576	9489	11418	11013	11147	10278	10843	9360	11669	9350	11111	12116	10519	10946	11527	10803	10974	11393	11361	12803	11954	12301	10214	10455	9623	10094	10817	11313	10963	12178	11408	13734	13090	12278	11778	10496	12652	14434	13776	12400	11495	13300	12455	11571	13941	10891	11584	12658	13188	12278	11912	14242	12886	11916	11351	11790	10577	13660	12572	13885	9185	13362	13762	12342	15345
Positive	POS_C	ERCC_00002.1	2763	2854	2452	2562	2336	2612	3020	2895	2863	2749	2885	2862	3383	2464	3284	2340	2920	2407	3701	3306	3275	2973	3047	3344	3287	2035	3449	2277	3321	3097	2895	2789	2610	3429	3133	3204	2950	3068	2664	3242	2691	3147	3482	2905	3158	3368	3022	3038	3271	3219	3729	3551	3418	2899	3071	2713	2896	3272	3136	3243	3438	3140	3723	3472	3416	3293	2915	3527	3842	3785	3458	3136	3687	3568	3148	3912	3105	3178	3461	3563	3428	3295	3913	3504	3365	3047	3324	2897	3683	3453	3899	2623	4036	3706	3421	4182
Positive	POS_D	ERCC_00092.1	778	726	663	695	639	726	784	772	779	739	747	737	949	642	894	639	788	601	977	882	908	788	875	905	910	545	921	650	873	868	812	778	716	912	825	894	807	783	700	876	723	830	934	811	855	937	822	821	888	854	1007	953	918	831	814	764	802	815	919	911	916	833	1035	1051	956	911	837	935	1103	1053	924	841	1030	920	857	1137	851	865	929	981	903	924	1140	976	1038	859	930	830	1041	938	1067	688	1153	1023	918	1177
Positive	POS_E	ERCC_00035.1	126	124	95	113	91	112	92	140	103	129	119	120	143	101	139	99	130	86	155	132	111	123	132	150	162	109	150	127	161	157	126	134	143	147	145	154	125	127	140	151	109	140	208	139	149	151	174	143	167	135	159	149	194	135	154	130	148	161	163	150	190	144	195	164	188	163	148	183	197	206	170	171	185	170	167	211	137	161	158	175	169	176	184	199	156	151	169	164	210	203	227	142	193	206	194	213
Positive	POS_F	ERCC_00034.1	66	53	53	51	45	41	63	72	58	66	59	62	73	45	66	62	56	39	64	81	61	54	58	62	58	51	59	60	72	72	67	53	56	67	54	61	65	64	49	70	57	67	75	76	81	62	56	55	61	64	69	83	57	55	70	62	61	61	67	69	75	70	86	72	79	78	68	74	64	98	73	71	57	68	63	93	61	62	71	93	74	73	74	72	72	83	65	55	66	76	86	63	98	81	72	89
Negative	NEG_A	ERCC_00096.1	12	12	7	11	8	12	14	6	10	14	14	19	21	17	20	8	12	13	10	15	21	12	8	23	10	8	12	15	14	22	10	16	20	19	22	9	15	25	18	24	14	13	24	18	17	15	18	16	23	12	16	19	14	16	44	38	29	41	36	22	23	18	16	16	25	19	14	17	27	15	16	28	13	21	17	25	17	20	13	24	19	17	13	16	18	14	21	23	28	25	22	28	29	19	22	23
Negative	NEG_B	ERCC_00041.1	10	7	8	17	8	7	10	12	14	13	11	8	8	7	11	10	7	9	12	12	14	15	12	13	8	8	13	5	11	9	8	10	10	9	8	13	9	11	8	10	5	7	14	3	6	12	12	9	4	5	13	5	10	6	7	6	13	8	13	13	9	8	12	6	9	12	8	7	13	13	15	8	9	11	5	7	12	11	10	12	14	12	13	7	13	8	3	5	14	7	12	7	11	9	7	9
Negative	NEG_C	ERCC_00019.1	8	12	8	10	4	8	6	6	17	11	9	9	10	7	9	11	9	9	16	9	12	15	16	14	12	7	7	9	6	15	4	8	7	10	15	12	9	13	15	4	11	10	16	9	11	15	6	6	8	16	11	5	6	3	9	10	15	11	11	10	16	9	7	6	7	6	15	6	13	12	8	9	7	5	11	14	8	11	7	15	8	9	8	9	9	11	10	11	12	7	16	8	8	10	9	10
Negative	NEG_D	ERCC_00076.1	12	11	11	11	5	5	16	10	7	8	8	5	15	9	13	12	7	5	16	12	8	8	16	7	16	10	14	4	7	9	10	8	8	5	12	7	7	8	5	6	7	6	6	11	6	5	10	10	9	12	5	18	7	7	5	6	7	8	8	8	8	3	8	3	11	2	11	16	8	8	6	8	9	8	2	15	3	11	12	13	11	13	15	12	11	6	7	11	9	8	12	2	13	5	13	8
Negative	NEG_E	ERCC_00098.1	20	19	13	22	10	9	16	22	15	17	11	12	17	13	20	12	13	15	18	9	14	17	25	15	20	5	16	15	15	13	16	17	15	26	25	27	17	24	19	23	17	19	15	13	21	11	18	13	11	14	21	18	28	20	79	86	66	49	43	50	19	22	21	17	29	34	25	22	41	35	31	32	19	14	21	23	22	24	44	18	26	29	28	30	25	27	35	34	53	40	50	51	36	29	35	25
Negative	NEG_F	ERCC_00126.1	14	16	13	11	21	11	15	26	20	24	19	21	25	18	18	19	21	19	21	15	20	22	12	24	20	18	23	10	19	26	21	12	17	19	15	25	19	19	11	16	12	21	26	18	21	20	22	15	10	16	16	17	26	10	15	20	21	17	17	20	15	22	16	19	15	22	18	27	21	22	12	10	13	15	15	24	20	16	16	14	21	21	20	17	26	21	19	22	16	17	26	17	21	22	15	21
Negative	NEG_G	ERCC_00144.1	7	6	10	5	5	5	9	9	5	7	7	5	14	5	11	5	8	4	14	12	8	8	11	7	4	4	10	9	9	7	6	9	5	11	7	9	7	6	6	5	7	4	13	5	7	11	5	7	11	8	1	10	10	4	7	9	11	6	13	7	10	7	7	6	6	4	6	7	13	8	10	5	9	8	5	11	8	9	13	7	11	12	12	10	12	7	10	8	5	8	11	9	19	7	13	11
Negative	NEG_H	ERCC_00154.1	10	8	3	7	4	11	4	7	6	9	8	8	8	6	10	5	11	7	16	14	8	11	11	12	8	3	6	7	8	8	6	6	4	19	4	10	5	5	6	6	9	2	13	10	11	6	9	11	13	8	11	6	4	6	14	9	10	9	12	11	7	7	4	5	8	11	14	11	12	6	12	13	5	7	5	7	5	5	7	15	13	11	8	7	8	8	7	14	13	6	19	9	22	13	10	11
																																																																																																		
Housekeeping	Hs_Alas1	NM_000688.4	36	25	102	96	51	54	154	140	108	112	37	27	23	21	28	27	40	53	26	24	22	17	30	26	24	37	21	22	20	18	23	36	774	753	1103	890	955	859	2074	1852	762	760	372	333	601	465	430	424	811	980	664	698	656	626	664	749	734	636	741	698	406	526	307	320	233	286	416	379	579	481	491	737	19	19	603	482	1158	1235	593	527	241	194	457	611	546	708	528	413	1175	1079	1054	1080	222	376	618	452
